sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
A007,-73.5818565,45.48959313,-73.58186971,45.48962312,1,NORMAL,Double,A008,Sussex,0,Régulier Payez-Partez,300,S,
A008,-73.5818565,45.48959313,-73.58180564,45.48959177,1,NORMAL,Double,A007,Sussex,0,Régulier Payez-Partez,300,S,
A009,-73.58172693,45.48953179,-73.58174017,45.48956188,1,NORMAL,Double,A010,Sussex,0,Régulier Payez-Partez,300,S,
A010,-73.58172693,45.48953179,-73.5816761,45.48953053,1,NORMAL,Double,A009,Sussex,0,Régulier Payez-Partez,300,S,
A011,-73.5815974,45.48947054,-73.58161063,45.48950064,1,NORMAL,Double,A012,Sussex,0,Régulier Payez-Partez,300,S,
A012,-73.5815974,45.48947054,-73.58154656,45.48946929,1,NORMAL,Double,A011,Sussex,0,Régulier Payez-Partez,300,S,
A013,-73.58146786,45.4894093,-73.58148109,45.4894394,1,NORMAL,Double,A014,Sussex,0,Régulier Payez-Partez,300,S,
A014,-73.58146786,45.4894093,-73.58142185,45.48940786,1,NORMAL,Double,A013,Sussex,0,Régulier Payez-Partez,300,S,
A015,-73.58134353,45.48934294,-73.58135968,45.48937468,1,NORMAL,Double,A016,Sussex,0,Régulier Payez-Partez,300,S,
A016,-73.58134353,45.48934294,-73.58129751,45.4893415,1,NORMAL,Double,A015,Sussex,0,Régulier Payez-Partez,300,S,
A017,-73.5812192,45.48927658,-73.58123293,45.48930702,1,NORMAL,Double,A018,Sussex,0,Régulier Payez-Partez,300,S,
A018,-73.5812192,45.48927658,-73.58117318,45.48927514,1,NORMAL,Double,A017,Sussex,0,Régulier Payez-Partez,300,S,
A019,-73.58109486,45.48921022,-73.58110963,45.48924122,1,NORMAL,Double,A020,Sussex,0,Régulier Payez-Partez,300,S,
A020,-73.58109486,45.48921022,-73.58104884,45.48920877,1,NORMAL,Double,A019,Sussex,0,Régulier Payez-Partez,300,S,
A133,-73.58865604,45.49046556,-73.58872315,45.49046548,1,NORMAL,Double,A134,Sherbrooke,1,Régulier Payez-Partez,300,S,
A134,-73.58865604,45.49046556,-73.5886716,45.49051213,1,NORMAL,Double,A133,Sherbrooke,1,Régulier Payez-Partez,300,S,
A135,-73.58855491,45.49055819,-73.58862005,45.49055877,1,NORMAL,Double,A136,Sherbrooke,1,Régulier Payez-Partez,300,S,
A136,-73.58855491,45.49055819,-73.58856936,45.49060464,1,NORMAL,Double,A135,Sherbrooke,1,Régulier Payez-Partez,300,S,
A137,-73.5884525,45.49065083,-73.58851828,45.49065085,1,NORMAL,Double,A138,Sherbrooke,1,Régulier Payez-Partez,300,S,
A138,-73.5884525,45.49065083,-73.58846721,45.49069707,1,NORMAL,Double,A137,Sherbrooke,1,Régulier Payez-Partez,300,S,
A158,-73.58732486,45.49193729,-73.58730984,45.49189162,1,NORMAL,Double,A159,Sherbrooke,1,Régulier Payez-Partez,300,S,
A159,-73.58732486,45.49193729,-73.58725408,45.49192853,1,NORMAL,Double,A158,Sherbrooke,1,Régulier Payez-Partez,300,S,
A160,-73.58721629,45.49201272,-73.58719832,45.49196543,1,NORMAL,Double,A161,Sherbrooke,1,Régulier Payez-Partez,300,S,
A161,-73.58721629,45.49201272,-73.58714709,45.49199934,1,NORMAL,Double,A160,Sherbrooke,1,Régulier Payez-Partez,300,S,
A167,-73.58682221,45.49225675,-73.58681189,45.49220982,1,NORMAL,Double,A168,Sherbrooke,0,Régulier Payez-Partez,300,S,
A168,-73.58682221,45.49225675,-73.58675319,45.49224483,1,NORMAL,Double,A167,Sherbrooke,0,Régulier Payez-Partez,300,S,
A169,-73.58669894,45.49232883,-73.58669216,45.49228123,1,NORMAL,Double,A170,Sherbrooke,0,Régulier Payez-Partez,300,S,
A170,-73.58669894,45.49232883,-73.58663069,45.4923179,1,NORMAL,Double,A169,Sherbrooke,0,Régulier Payez-Partez,300,S,
A171,-73.5865773,45.49240312,-73.58656922,45.49235456,1,NORMAL,Double,A172,Sherbrooke,0,Régulier Payez-Partez,300,S,
A172,-73.5865773,45.49240312,-73.58650775,45.49239123,1,NORMAL,Double,A171,Sherbrooke,0,Régulier Payez-Partez,300,S,
A173,-73.58645473,45.49247677,-73.58644628,45.4924279,1,NORMAL,Double,A174,Sherbrooke,0,Régulier Payez-Partez,300,S,
A174,-73.58645473,45.49247677,-73.58638481,45.49246456,1,NORMAL,Double,A173,Sherbrooke,0,Régulier Payez-Partez,300,S,
A175,-73.5863309,45.49254938,-73.58632334,45.49250123,1,NORMAL,Double,A176,Sherbrooke,0,Régulier Payez-Partez,300,S,
A176,-73.5863309,45.49254938,-73.58626187,45.49253789,1,NORMAL,Double,A175,Sherbrooke,0,Régulier Payez-Partez,300,S,
A190,-73.58544636,45.4930793,-73.58538667,45.49305992,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A194,-73.58515097,45.49325597,-73.58514425,45.49320349,1,NORMAL,Double,A195,Sherbrooke,0,Régulier Payez-Partez,300,S,
A195,-73.58515097,45.49325597,-73.58507908,45.49324272,1,NORMAL,Double,A194,Sherbrooke,0,Régulier Payez-Partez,300,S,
A196,-73.58505008,45.49331669,-73.58501931,45.49327871,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A204,-73.5845462,45.49364167,-73.58451923,45.49359746,1,NORMAL,Double,A205,Sherbrooke,1,Régulier Payez-Partez,300,S,
A205,-73.5845462,45.49364167,-73.58447838,45.49362912,1,NORMAL,Double,A204,Sherbrooke,1,Régulier Payez-Partez,300,S,
A207,-73.58444918,45.49372637,-73.58438405,45.49371059,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A208,-73.58437316,45.49379794,-73.58434177,45.49374964,1,NORMAL,Double,A209,Sherbrooke,1,Régulier Payez-Partez,300,S,
A209,-73.58437316,45.49379794,-73.5843,45.49379133,1,NORMAL,Double,A208,Sherbrooke,1,Régulier Payez-Partez,300,S,
A214,-73.58413429,45.49407481,-73.58407478,45.49404755,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A217,-73.5840089,45.49422029,-73.58393556,45.49420468,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A218,-73.58394022,45.4942976,-73.58389733,45.49424782,1,NORMAL,Double,A219,Sherbrooke,1,Régulier Payez-Partez,300,S,
A219,-73.58394022,45.4942976,-73.58385701,45.49429333,1,NORMAL,Double,A218,Sherbrooke,1,Régulier Payez-Partez,300,S,
A220,-73.58387738,45.49436952,-73.5838164,45.49433917,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A221,-73.58383303,45.49441963,-73.58377787,45.49438265,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A237,-73.58317472,45.49516657,-73.58313034,45.49512157,1,NORMAL,Double,A238,Sherbrooke,0,Régulier Payez-Partez,300,S,
A238,-73.58317472,45.49516657,-73.58309232,45.49516447,1,NORMAL,Double,A237,Sherbrooke,0,Régulier Payez-Partez,300,S,
A239,-73.58312018,45.49523137,-73.58305154,45.4952105,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A240,-73.58305342,45.49530446,-73.58301075,45.49525653,1,NORMAL,Double,A241,Sherbrooke,0,Régulier Payez-Partez,300,S,
A241,-73.58305342,45.49530446,-73.58296996,45.49530257,1,NORMAL,Double,A240,Sherbrooke,0,Régulier Payez-Partez,300,S,
A242,-73.58299392,45.49537213,-73.58293079,45.49534677,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A258,-73.5872077,45.49171904,-73.58726397,45.49171873,1,NORMAL,Double,A259,Sherbrooke,1,Régulier Payez-Partez,300,S,
A259,-73.5872077,45.49171904,-73.58720715,45.49176153,1,NORMAL,Double,A258,Sherbrooke,1,Régulier Payez-Partez,300,S,
A260,-73.58709057,45.49180217,-73.58715034,45.49180432,1,NORMAL,Double,A261,Sherbrooke,1,Régulier Payez-Partez,300,S,
A261,-73.58709057,45.49180217,-73.58709562,45.49184554,1,NORMAL,Double,A260,Sherbrooke,1,Régulier Payez-Partez,300,S,
A264,-73.58664605,45.49210289,-73.58669064,45.49209903,1,NORMAL,Double,A265,Sherbrooke,1,Régulier Payez-Partez,300,S,
A265,-73.58664605,45.49210289,-73.58663135,45.4921344,1,NORMAL,Double,A264,Sherbrooke,1,Régulier Payez-Partez,300,S,
A266,-73.5865034,45.49216828,-73.58656593,45.49217342,1,NORMAL,Double,A267,Sherbrooke,1,Régulier Payez-Partez,300,S,
A267,-73.5865034,45.49216828,-73.58650701,45.49220856,1,NORMAL,Double,A266,Sherbrooke,1,Régulier Payez-Partez,300,S,
A273,-73.58607369,45.49242709,-73.58611755,45.49244087,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A281,-73.58540261,45.49282719,-73.58540848,45.49286634,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A282,-73.58529074,45.49289164,-73.58535112,45.49290045,1,NORMAL,Double,A283,Sherbrooke,0,Régulier Payez-Partez,300,S,
A283,-73.58529074,45.49289164,-73.58529181,45.49293615,1,NORMAL,Double,A282,Sherbrooke,0,Régulier Payez-Partez,300,S,
A284,-73.58517163,45.49296255,-73.5852325,45.49297186,1,NORMAL,Double,A285,Sherbrooke,1,Régulier Payez-Partez,300,S,
A285,-73.58517163,45.49296255,-73.58517319,45.49300757,1,NORMAL,Double,A284,Sherbrooke,1,Régulier Payez-Partez,300,S,
A286,-73.58509569,45.49301063,-73.58511389,45.49304327,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A290,-73.5848311,45.49316668,-73.58488728,45.49317731,1,NORMAL,Double,A291,Sherbrooke,0,Régulier Payez-Partez,300,S,
A291,-73.5848311,45.49316668,-73.58483219,45.49321048,1,NORMAL,Double,A290,Sherbrooke,0,Régulier Payez-Partez,300,S,
A292,-73.58471415,45.49323652,-73.58477351,45.49324581,1,NORMAL,Double,A293,Sherbrooke,1,Régulier Payez-Partez,300,S,
A293,-73.58471415,45.49323652,-73.58471523,45.49328089,1,NORMAL,Double,A292,Sherbrooke,1,Régulier Payez-Partez,300,S,
A294,-73.58459736,45.49330702,-73.58465696,45.49331598,1,NORMAL,Double,A295,Sherbrooke,1,Régulier Payez-Partez,300,S,
A295,-73.58459736,45.49330702,-73.5846029,45.49334852,1,NORMAL,Double,A294,Sherbrooke,1,Régulier Payez-Partez,300,S,
A300,-73.58408568,45.49371877,-73.5841424,45.49371642,1,NORMAL,Double,A301,Sherbrooke,1,Régulier Payez-Partez,300,S,
A301,-73.58408568,45.49371877,-73.58410391,45.49375964,1,NORMAL,Double,A300,Sherbrooke,1,Régulier Payez-Partez,300,S,
A302,-73.58400046,45.4938085,-73.58406329,45.49380549,1,NORMAL,Double,A303,Sherbrooke,1,Régulier Payez-Partez,300,S,
A303,-73.58400046,45.4938085,-73.58402267,45.49385133,1,NORMAL,Double,A302,Sherbrooke,1,Régulier Payez-Partez,300,S,
A304,-73.5839177,45.49389955,-73.58398205,45.49389718,1,NORMAL,Double,A305,Sherbrooke,1,Régulier Payez-Partez,300,S,
A305,-73.5839177,45.49389955,-73.58394143,45.49394302,1,NORMAL,Double,A304,Sherbrooke,1,Régulier Payez-Partez,300,S,
A306,-73.5838422,45.49398522,-73.58390381,45.49398548,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A311,-73.58364803,45.49420046,-73.58369494,45.49422121,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A317,-73.58334814,45.49441843,-73.58333747,45.49446315,1,NORMAL,Double,A318,Saint-Marc,0,Régulier Payez-Partez,300,S,
A318,-73.58334814,45.49441843,-73.583282,45.49443063,1,NORMAL,Double,A317,Saint-Marc,0,Régulier Payez-Partez,300,S,
A319,-73.58322979,45.49434906,-73.58322435,45.49439682,1,NORMAL,Double,A320,Saint-Marc,0,Régulier Payez-Partez,300,S,
A320,-73.58322979,45.49434906,-73.58316477,45.49436188,1,NORMAL,Double,A319,Saint-Marc,0,Régulier Payez-Partez,300,S,
A321,-73.58320852,45.4945482,-73.58326837,45.49453706,1,NORMAL,Double,A322,Saint-Marc,1,Régulier Payez-Partez,300,S,
A322,-73.58320852,45.4945482,-73.58320443,45.49449957,1,NORMAL,Double,A321,Saint-Marc,1,Régulier Payez-Partez,300,S,
A323,-73.58313954,45.49450804,-73.58314049,45.49446208,1,NORMAL,Simple,,Saint-Marc,0,Régulier Payez-Partez,300,S,
A324,-73.58301447,45.49443638,-73.58307843,45.49442569,1,NORMAL,Double,A325,Saint-Marc,0,Régulier Payez-Partez,300,S,
A325,-73.58301447,45.49443638,-73.58301532,45.49439021,1,NORMAL,Double,A324,Saint-Marc,0,Régulier Payez-Partez,300,S,
A329,-73.58313875,45.49477124,-73.58320974,45.49477111,1,NORMAL,Double,A330,Sherbrooke,1,Régulier Payez-Partez,300,S,
A330,-73.58313875,45.49477124,-73.58316813,45.49481808,1,NORMAL,Double,A329,Sherbrooke,1,Régulier Payez-Partez,300,S,
A331,-73.58304984,45.49486992,-73.58312413,45.49486773,1,NORMAL,Double,A332,Sherbrooke,1,Régulier Payez-Partez,300,S,
A332,-73.58304984,45.49486992,-73.58308014,45.49491738,1,NORMAL,Double,A331,Sherbrooke,1,Régulier Payez-Partez,300,S,
A334,-73.58292495,45.49501375,-73.58297659,45.49503425,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,300,S,
A335,-73.58286335,45.49508109,-73.58293697,45.49507896,1,NORMAL,Double,A336,Sherbrooke,1,Régulier Payez-Partez,300,S,
A336,-73.58286335,45.49508109,-73.58289436,45.49512705,1,NORMAL,Double,A335,Sherbrooke,1,Régulier Payez-Partez,300,S,
A337,-73.58278645,45.49516834,-73.58285393,45.49517268,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,300,S,
A346,-73.58668282,45.49084153,-73.58667776,45.49080537,1,NORMAL,Double,A347,Lincoln,0,Régulier Payez-Partez,300,S,
A347,-73.58668282,45.49084153,-73.58662935,45.49084601,1,NORMAL,Double,A346,Lincoln,0,Régulier Payez-Partez,300,S,
A348,-73.58658456,45.49092471,-73.58657949,45.49088585,1,NORMAL,Double,A349,Lincoln,0,Régulier Payez-Partez,300,S,
A349,-73.58658456,45.49092471,-73.58653088,45.49092639,1,NORMAL,Double,A348,Lincoln,0,Régulier Payez-Partez,300,S,
A361,-73.58654603,45.49077883,-73.58660337,45.4907757,1,NORMAL,Double,A362,Lincoln,0,Régulier Payez-Partez,300,S,
A362,-73.58654603,45.49077883,-73.58655085,45.49082003,1,NORMAL,Double,A361,Lincoln,0,Régulier Payez-Partez,300,S,
A363,-73.58644141,45.49086727,-73.58649813,45.49086323,1,NORMAL,Double,A364,Lincoln,0,Régulier Payez-Partez,300,S,
A364,-73.58644141,45.49086727,-73.58644615,45.49090513,1,NORMAL,Double,A363,Lincoln,0,Régulier Payez-Partez,300,S,
A416,-73.58605989,45.48997348,-73.58605773,45.48993442,1,NORMAL,Double,A417,Maisonneuve,1,Régulier Payez-Partez,300,S,
A417,-73.58605989,45.48997348,-73.58600628,45.4899782,1,NORMAL,Double,A416,Maisonneuve,1,Régulier Payez-Partez,300,S,
A460,-73.58573862,45.49024856,-73.58568001,45.4902487,1,NORMAL,Simple,,Maisonneuve,0,Régulier Payez-Partez,300,S,
A461,-73.58564087,45.49033591,-73.58562885,45.49029224,1,NORMAL,Double,A462,Maisonneuve,1,Régulier Payez-Partez,300,S,
A462,-73.58564087,45.49033591,-73.58558207,45.49033205,1,NORMAL,Double,A461,Maisonneuve,1,Régulier Payez-Partez,300,S,
A490,-73.58167556,45.49371152,-73.58163157,45.49369918,1,NORMAL,Simple,,Maisonneuve,1,Régulier Payez-Partez,300,S,
A491,-73.58159013,45.49378737,-73.58157937,45.49374356,1,NORMAL,Simple,,Maisonneuve,1,Régulier Payez-Partez,300,S,
A492,-73.58153775,45.49383378,-73.58152598,45.49378895,1,NORMAL,Double,A493,Maisonneuve,0,Régulier Payez-Partez,300,S,
A493,-73.58153775,45.49383378,-73.58147371,45.49383339,1,NORMAL,Double,A492,Maisonneuve,0,Régulier Payez-Partez,300,S,
A497,-73.58128468,45.49404741,-73.58127359,45.49400353,1,NORMAL,Double,A498,Maisonneuve,1,Régulier Payez-Partez,300,S,
A498,-73.58128468,45.49404741,-73.58122097,45.49404826,1,NORMAL,Double,A497,Maisonneuve,1,Régulier Payez-Partez,300,S,
A501,-73.58107861,45.49422434,-73.58106474,45.49418108,1,NORMAL,Simple,,Maisonneuve,0,Régulier Payez-Partez,300,S,
A547,-73.58482031,45.48919231,-73.58481053,45.48915169,1,NORMAL,Double,A548,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A548,-73.58482031,45.48919231,-73.58476157,45.48919331,1,NORMAL,Double,A547,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A554,-73.58331347,45.49045427,-73.58331928,45.49042315,1,NORMAL,Double,A555,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A555,-73.58331347,45.49045427,-73.58327031,45.49046477,1,NORMAL,Double,A554,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A556,-73.58321445,45.49053862,-73.58322135,45.49050639,1,NORMAL,Double,A557,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A557,-73.58321445,45.49053862,-73.58317238,45.49054801,1,NORMAL,Double,A556,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A558,-73.58312095,45.49062145,-73.58312341,45.49058963,1,NORMAL,Double,A559,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A559,-73.58312095,45.49062145,-73.58307445,45.49063125,1,NORMAL,Double,A558,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A560,-73.58302158,45.49070479,-73.58302548,45.49067287,1,NORMAL,Double,A561,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A561,-73.58302158,45.49070479,-73.58297651,45.49071449,1,NORMAL,Double,A560,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A562,-73.58292208,45.49078731,-73.58292754,45.4907561,1,NORMAL,Double,A563,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A563,-73.58292208,45.49078731,-73.58287858,45.49079772,1,NORMAL,Double,A562,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A564,-73.58282577,45.4908711,-73.58282961,45.49083934,1,NORMAL,Double,A565,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A565,-73.58282577,45.4908711,-73.58278064,45.49088096,1,NORMAL,Double,A564,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A567,-73.58258988,45.49112891,-73.58250893,45.49111425,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A568,-73.58249874,45.49120737,-73.5824642,45.49115239,1,NORMAL,Double,A569,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A569,-73.58249874,45.49120737,-73.58241297,45.49119606,1,NORMAL,Double,A568,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A570,-73.58239468,45.49129637,-73.58236174,45.49123974,1,NORMAL,Double,A571,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A571,-73.58239468,45.49129637,-73.58230792,45.49128562,1,NORMAL,Double,A570,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A572,-73.58232407,45.49135674,-73.5822541,45.49133151,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A573,-73.58224,45.49143154,-73.58220027,45.49137739,1,NORMAL,Double,A574,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A574,-73.58224,45.49143154,-73.58214863,45.49142141,1,NORMAL,Double,A573,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A576,-73.58209608,45.49155402,-73.58205512,45.49150114,1,NORMAL,Double,A577,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A577,-73.58209608,45.49155402,-73.58200793,45.49154136,1,NORMAL,Double,A576,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A578,-73.58202361,45.49161245,-73.58195405,45.49158729,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A579,-73.58197081,45.49165989,-73.58190017,45.49163323,1,NORMAL,Simple,,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A580,-73.58187973,45.4917377,-73.58184551,45.49167983,1,NORMAL,Double,A581,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A581,-73.58187973,45.4917377,-73.58179085,45.49172643,1,NORMAL,Double,A580,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A582,-73.58176792,45.49183284,-73.58173613,45.49177425,1,NORMAL,Double,A583,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A583,-73.58176792,45.49183284,-73.58168496,45.49181788,1,NORMAL,Double,A582,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A588,-73.58312643,45.49036788,-73.58316009,45.49042134,1,NORMAL,Simple,,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A589,-73.58304786,45.49043764,-73.58311229,45.49046213,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A590,-73.58298499,45.49049178,-73.58306448,45.49050293,1,NORMAL,Double,A591,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A591,-73.58298499,45.49049178,-73.58301667,45.49054372,1,NORMAL,Double,A590,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A592,-73.58293834,45.49057829,-73.58296809,45.49058517,1,NORMAL,Simple,,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A593,-73.58284127,45.49061506,-73.5829195,45.49062663,1,NORMAL,Double,A594,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A594,-73.58284127,45.49061506,-73.58287092,45.49066808,1,NORMAL,Double,A593,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A595,-73.58274263,45.49069807,-73.58282208,45.49070976,1,NORMAL,Double,A596,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A596,-73.58274263,45.49069807,-73.58277324,45.49075143,1,NORMAL,Double,A595,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A597,-73.58267801,45.49075435,-73.58272547,45.49079219,1,NORMAL,Simple,,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A600,-73.58256494,45.49090387,-73.58260806,45.49089238,1,NORMAL,Double,A601,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A601,-73.58256494,45.49090387,-73.58255887,45.49093435,1,NORMAL,Double,A600,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A602,-73.58246547,45.49099079,-73.58250789,45.49097784,1,NORMAL,Double,A603,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A603,-73.58246547,45.49099079,-73.58245692,45.49102134,1,NORMAL,Double,A602,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A604,-73.58236318,45.49107609,-73.58240725,45.49106372,1,NORMAL,Double,A605,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A605,-73.58236318,45.49107609,-73.5823564,45.4911071,1,NORMAL,Double,A604,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A606,-73.58226963,45.491094,-73.58230673,45.49114948,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A612,-73.58198055,45.49134447,-73.58201362,45.49139958,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A613,-73.58188282,45.49142787,-73.58196414,45.49144179,1,NORMAL,Double,A614,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A614,-73.58188282,45.49142787,-73.58191437,45.49148296,1,NORMAL,Double,A613,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A615,-73.58178483,45.49151102,-73.5818655,45.49152466,1,NORMAL,Double,A616,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A616,-73.58178483,45.49151102,-73.58181986,45.4915636,1,NORMAL,Double,A615,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A621,-73.58144255,45.49205795,-73.58144026,45.49202343,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A622,-73.58138764,45.49210424,-73.58138967,45.49206659,1,NORMAL,Double,A623,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A623,-73.58138764,45.49210424,-73.58133552,45.49211279,1,NORMAL,Double,A622,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A624,-73.58128272,45.49219268,-73.58128348,45.49215719,1,NORMAL,Double,A625,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A625,-73.58128272,45.49219268,-73.5812312,45.4922018,1,NORMAL,Double,A624,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A626,-73.58117288,45.49228527,-73.58117544,45.49224937,1,NORMAL,Double,A627,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A627,-73.58117288,45.49228527,-73.58112419,45.49229121,1,NORMAL,Double,A626,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A628,-73.58090399,45.49251149,-73.58090652,45.49247693,1,NORMAL,Double,A629,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A629,-73.58090399,45.49251149,-73.58085687,45.49251929,1,NORMAL,Double,A628,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A630,-73.58080055,45.4926008,-73.58080412,45.49256429,1,NORMAL,Double,A631,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A631,-73.58080055,45.4926008,-73.58075136,45.4926093,1,NORMAL,Double,A630,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A632,-73.5806993,45.49268582,-73.58070305,45.49265223,1,NORMAL,Double,A633,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A633,-73.5806993,45.49268582,-73.5806545,45.49269509,1,NORMAL,Double,A632,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A634,-73.58060878,45.49276396,-73.58060979,45.49273445,1,NORMAL,Simple,,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A636,-73.58129594,45.49193329,-73.58137116,45.4919474,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A637,-73.58124697,45.49197485,-73.58132691,45.49198516,1,NORMAL,Double,A638,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A638,-73.58124697,45.49197485,-73.58127782,45.49202703,1,NORMAL,Double,A637,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A639,-73.58114891,45.49205806,-73.58122874,45.49206891,1,NORMAL,Double,A640,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A640,-73.58114891,45.49205806,-73.58117966,45.49211079,1,NORMAL,Double,A639,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A641,-73.58105104,45.49214109,-73.58113082,45.49215246,1,NORMAL,Double,A642,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A642,-73.58105104,45.49214109,-73.58107941,45.49219632,1,NORMAL,Double,A641,Sainte-Catherine,0,Régulier Payez-Partez,300,S,
A643,-73.58094352,45.49223219,-73.58102526,45.49224252,1,NORMAL,Double,A644,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A644,-73.58094352,45.49223219,-73.58097111,45.49228872,1,NORMAL,Double,A643,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
A645,-73.58088915,45.49227939,-73.58091696,45.49233492,1,NORMAL,Simple,,Sainte-Catherine,1,Régulier Payez-Partez,300,S,
