sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
PM339,-73.59225673,45.5229021,-73.59231719,45.52288162,1,NORMAL,Double,PM340,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM340,-73.59225673,45.5229021,-73.59225176,45.52285186,1,NORMAL,Double,PM339,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM341,-73.59212962,45.52284141,-73.59218959,45.52282359,1,NORMAL,Double,PM342,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM342,-73.59212962,45.52284141,-73.59212743,45.52279532,1,NORMAL,Double,PM341,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM343,-73.592001,45.52278199,-73.59206065,45.52276495,1,NORMAL,Double,PM344,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM344,-73.592001,45.52278199,-73.59199599,45.52273555,1,NORMAL,Double,PM343,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM345,-73.5918718,45.52272357,-73.59193344,45.5227071,1,NORMAL,Double,PM346,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM346,-73.5918718,45.52272357,-73.59186743,45.52267709,1,NORMAL,Double,PM345,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM348,-73.59167145,45.52263484,-73.59173472,45.52261673,1,NORMAL,Simple,,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM351,-73.59152867,45.52256837,-73.59152634,45.52252197,1,NORMAL,Simple,,Saint-Laurent,1,Régulier Payez-Partez,300,S,
PM357,-73.59552915,45.52036436,-73.59552108,45.52042751,1,NORMAL,Double,PM358,Jeanne-Mance,1,Régulier Payez-Partez,300,S,
PM358,-73.59552915,45.52036436,-73.59545066,45.52039772,1,NORMAL,Double,PM357,Jeanne-Mance,1,Régulier Payez-Partez,300,S,
PM361,-73.59550886,45.52050741,-73.5955473,45.52050594,1,NORMAL,Double,PM362,Jeanne-Mance,0,Régulier Payez-Partez,300,S,
PM362,-73.59550886,45.52050741,-73.59548752,45.52048065,1,NORMAL,Double,PM361,Jeanne-Mance,0,Régulier Payez-Partez,300,S,
PM363,-73.59537736,45.52045118,-73.59542143,45.52045074,1,NORMAL,Double,PM364,Jeanne-Mance,0,Régulier Payez-Partez,300,S,
PM364,-73.59537736,45.52045118,-73.59536222,45.52042414,1,NORMAL,Double,PM363,Jeanne-Mance,0,Régulier Payez-Partez,300,S,
PM366,-73.5949478,45.52028665,-73.59493642,45.52023765,1,NORMAL,Simple,,Jeanne-Mance,0,Régulier Payez-Partez,300,S,
PM367,-73.59480071,45.52022313,-73.59486532,45.52020757,1,NORMAL,Double,PM368,Jeanne-Mance,1,Régulier Payez-Partez,300,S,
PM368,-73.59480071,45.52022313,-73.59479561,45.52017666,1,NORMAL,Double,PM367,Jeanne-Mance,1,Régulier Payez-Partez,300,S,
PM372,-73.59523984,45.52050581,-73.59516277,45.52050513,1,NORMAL,Simple,,Laurier,1,Régulier Payez-Partez,300,S,
PM373,-73.59516997,45.52058498,-73.59512321,45.52055046,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM374,-73.5951186,45.52064336,-73.59508187,45.52059783,1,NORMAL,Double,PM375,Laurier,0,Régulier Payez-Partez,300,S,
PM375,-73.5951186,45.52064336,-73.59504583,45.52063912,1,NORMAL,Double,PM374,Laurier,0,Régulier Payez-Partez,300,S,
PM378,-73.59501556,45.52075969,-73.59494298,45.52075696,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM379,-73.5949424,45.520844,-73.59490546,45.52079995,1,NORMAL,Double,PM380,Laurier,1,Régulier Payez-Partez,300,S,
PM380,-73.5949424,45.520844,-73.59486911,45.52084159,1,NORMAL,Double,PM379,Laurier,1,Régulier Payez-Partez,300,S,
PM382,-73.59484011,45.52096173,-73.59479359,45.52092811,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM386,-73.59495648,45.52041118,-73.595005,45.52044271,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM387,-73.59491894,45.52045879,-73.59496463,45.52048896,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM388,-73.59486796,45.52051704,-73.59492486,45.52053547,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM389,-73.59482965,45.52056101,-73.59488509,45.52058198,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM390,-73.59477403,45.52062846,-73.59484532,45.52062848,1,NORMAL,Double,PM391,Laurier,0,Régulier Payez-Partez,300,S,
PM391,-73.59477403,45.52062846,-73.59480555,45.52067499,1,NORMAL,Double,PM390,Laurier,0,Régulier Payez-Partez,300,S,
